"Timestamp","Studij","Upisana godina studija","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom fakulteta]","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom svojih nastavnika]","Upoznatost sa znanstvenim radom [Moji su nastavnici stručnjaci u svojem polju koji aktivno doprinose znanstvenoj zajednici]","Upoznatost sa znanstvenim radom [Upoznat sam s istraživačkim grupama fakulteta i mogu nabrojati nekoliko grupa]","Možemo podijeliti aktivnosti nastavnika na nastavne (predavanja, vježbe, priprema nastave, ispiti) i znanstvene (istraživanje, pisanje znanstvenih radova, prijava i vođenje projekata).

Po vašoj procjeni, koliko svojeg vremena nastavnici provode na znanstvene aktivnosti?","Nastavno na prošlo pitanje, po vašoj procjeni, koliko svojeg vremena tijekom doktorskog studija doktorandi provode na znanstvene aktivnosti?","Tijekom svog dosadašnjeg školovanja, koliko ste pročitali znanstvenih radova? (Bilo za potrebe predmeta na fakultetu ili u bilo koje druge svrhe.)","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za znanstveni rad tijekom studija]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na FERIT-u]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na nekoj drugoj instituciji]","Komentari (neobavezno)"
"2022/12/02 10:41:16 am CET","Diplomski Automobilsko računarstvo i komunikacije","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Potpuno se slažem","Ne slažem se","od 40% do 60%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 10:42:27 am CET","Diplomski Automobilsko računarstvo i komunikacije","2","Ne slažem se","Ne slažem se","Slažem se","Slažem se","od 40% do 60%","od 60% do 80%","Od 5 do 10","Da","Ne","Ne",""
"2022/12/02 10:43:04 am CET","Diplomski Elektrotehnika","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 60% do 80%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/02 10:44:48 am CET","Diplomski Računarstvo","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Ne slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/02 10:45:09 am CET","Diplomski Elektrotehnika","2","Slažem se","Slažem se","Slažem se","Ne slažem se","više od 80%","više od 80%","10 i više","Nisam siguran/a","Ne","Ne",""
"2022/12/02 10:47:45 am CET","Stručni studij Računarstvo","3","Izrazito se ne slažem","Izrazito se ne slažem","Izrazito se ne slažem","Izrazito se ne slažem","od 60% do 80%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/02 10:49:04 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 60% do 80%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 10:53:23 am CET","Preddiplomski Računarstvo","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Da","Da","Nisam siguran/a",""
"2022/12/02 11:14:50 am CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Niti se slažem niti ne slažem","od 40% do 60%","više od 80%","Manje od 5","Da","Nisam siguran/a","Ne",""
"2022/12/02 11:16:21 am CET","Diplomski Računarstvo","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 40% do 60%","Od 5 do 10","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 11:17:26 am CET","Stručni studij Računarstvo","2","Potpuno se slažem","Slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 40% do 60%","od 40% do 60%","0","Da","Nisam siguran/a","Ne",""
"2022/12/02 11:17:54 am CET","Preddiplomski Računarstvo","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","više od 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 11:23:15 am CET","Stručni studij Elektrotehnika","3","Slažem se","Niti se slažem niti ne slažem","Slažem se","Ne slažem se","od 20% do 40%","od 60% do 80%","Manje od 5","Da","Ne","Ne","Trebali bi profesori na fakultetu više poticati nas studente za uključivanje u razne znanstvene projekte, odnosno da i mi probamo napraviti nešto praktično i da provedemo neko istraživanje"
"2022/12/02 11:24:43 am CET","Diplomski Računarstvo","2","Ne slažem se","Izrazito se ne slažem","Ne slažem se","Izrazito se ne slažem","od 60% do 80%","više od 80%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 11:26:07 am CET","Stručni studij Elektrotehnika","3","Slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 60% do 80%","više od 80%","Od 5 do 10","Nisam siguran/a","Ne","Ne",""
"2022/12/02 11:38:18 am CET","Diplomski Računarstvo","1","Ne slažem se","Ne slažem se","Slažem se","Izrazito se ne slažem","od 40% do 60%","od 40% do 60%","10 i više","Da","Ne","Nisam siguran/a",""
"2022/12/02 11:40:02 am CET","Stručni studij Računarstvo","1","Ne slažem se","Ne slažem se","Slažem se","Izrazito se ne slažem","od 40% do 60%","od 40% do 60%","10 i više","Ne","Ne","Ne",""
"2022/12/02 11:45:37 am CET","Stručni studij Računarstvo","1","Slažem se","Slažem se","Potpuno se slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","10 i više","Ne","Ne","Ne",""
"2022/12/02 11:47:21 am CET","Preddiplomski Računarstvo","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 60% do 80%","više od 80%","Od 5 do 10","Nisam siguran/a","Nisam siguran/a","Da",""
"2022/12/02 11:52:26 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Izrazito se ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 40% do 60%","od 20% do 40%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/02 11:54:58 am CET","Diplomski Računarstvo","1","Ne slažem se","Ne slažem se","Slažem se","Ne slažem se","od 60% do 80%","više od 80%","Manje od 5","Da","Da","Ne",""
"2022/12/02 11:57:24 am CET","Preddiplomski Računarstvo","2","Izrazito se ne slažem","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","manje od 20%","od 40% do 60%","0","Nisam siguran/a","Ne","Ne",""
"2022/12/02 11:58:10 am CET","Preddiplomski Elektrotehnika","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 60% do 80%","Od 5 do 10","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 12:14:43 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Izrazito se ne slažem","od 40% do 60%","više od 80%","Manje od 5","Da","Nisam siguran/a","Ne",""
"2022/12/02 12:17:56 pm CET","Stručni studij Računarstvo","3","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","0","Ne","Ne","Ne",""
"2022/12/02 12:23:24 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 20% do 40%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/02 12:26:33 pm CET","Diplomski Računarstvo","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 40% do 60%","više od 80%","0","Ne","Ne","Ne",""
"2022/12/02 12:39:44 pm CET","Preddiplomski Elektrotehnika","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Da",""
"2022/12/02 12:45:18 pm CET","Preddiplomski Elektrotehnika","1","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Od 5 do 10","Nisam siguran/a","Da","Ne",""
"2022/12/02 12:47:35 pm CET","Preddiplomski Računarstvo","3","Izrazito se ne slažem","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 60% do 80%","više od 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 12:56:21 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Slažem se","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Da","Da",""
"2022/12/02 1:03:59 pm CET","Stručni studij Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Da",""
"2022/12/02 1:15:39 pm CET","Diplomski Računarstvo","2","Slažem se","Slažem se","Potpuno se slažem","Niti se slažem niti ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/02 1:15:55 pm CET","Diplomski Elektrotehnika","2","Ne slažem se","Ne slažem se","Potpuno se slažem","Ne slažem se","od 40% do 60%","od 40% do 60%","10 i više","Da","Ne","Ne",""
"2022/12/02 1:26:50 pm CET","Diplomski Elektrotehnika","1","Slažem se","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","manje od 20%","od 20% do 40%","10 i više","Da","Da","Da",""
"2022/12/02 1:28:38 pm CET","Preddiplomski Elektrotehnika","1","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","Od 5 do 10","Da","Nisam siguran/a","Ne",""
"2022/12/02 1:40:30 pm CET","Diplomski Elektrotehnika","1","Slažem se","Slažem se","Potpuno se slažem","Niti se slažem niti ne slažem","od 20% do 40%","od 60% do 80%","Manje od 5","Da","Nisam siguran/a","Ne",""
"2022/12/02 1:40:53 pm CET","Preddiplomski Elektrotehnika","3","Slažem se","Slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","Od 5 do 10","Da","Da","Nisam siguran/a",""
"2022/12/02 1:55:08 pm CET","Diplomski Računarstvo","1","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Slažem se","od 40% do 60%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/02 1:57:51 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 2:32:17 pm CET","Diplomski Računarstvo","2","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","od 60% do 80%","0","Ne","Ne","Ne",""
"2022/12/02 2:32:34 pm CET","Preddiplomski Računarstvo","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 2:51:37 pm CET","Diplomski Elektrotehnika","1","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 20% do 40%","Manje od 5","Da","Da","Nisam siguran/a","Bilo bi lijepo kada bi svi profesori na FERIT-u svoje studente više upućivali na znan.radove i davali im više motivacije,a ne tražili pamćenje nekih (nepotrebnih) informacija napamet.Vjerojatno bi onda i studenti pokazivali više volje,truda i rada za praktične i znanst.radove."
"2022/12/02 2:52:04 pm CET","Preddiplomski Računarstvo","2","Slažem se","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 2:53:48 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Niti se slažem niti ne slažem","od 20% do 40%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 3:00:22 pm CET","Diplomski Elektrotehnika","1","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 60% do 80%","od 40% do 60%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/02 3:02:48 pm CET","Stručni studij Računarstvo","3","Niti se slažem niti ne slažem","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 40% do 60%","od 60% do 80%","Od 5 do 10","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 3:09:03 pm CET","Preddiplomski Elektrotehnika","3","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","manje od 20%","0","Da","Da","Da",""
"2022/12/02 3:18:42 pm CET","Stručni studij Elektrotehnika","3","Ne slažem se","Ne slažem se","Potpuno se slažem","Ne slažem se","od 60% do 80%","manje od 20%","Od 5 do 10","Nisam siguran/a","Ne","Ne",""
"2022/12/02 3:26:19 pm CET","Diplomski Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/02 5:03:21 pm CET","Stručni studij Elektrotehnika","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Ne slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Da","Da","Nisam siguran/a",""
"2022/12/02 5:28:04 pm CET","Diplomski Elektrotehnika","1","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/02 6:10:31 pm CET","Preddiplomski Elektrotehnika","2","Slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 60% do 80%","više od 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 6:27:58 pm CET","Preddiplomski Računarstvo","3","Izrazito se ne slažem","Ne slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/02 6:39:12 pm CET","Diplomski Elektrotehnika","2","Ne slažem se","Slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","Od 5 do 10","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 6:40:12 pm CET","Preddiplomski Računarstvo","2","Izrazito se ne slažem","Izrazito se ne slažem","Ne slažem se","Izrazito se ne slažem","od 60% do 80%","od 40% do 60%","0","Ne","Ne","Ne",""
"2022/12/02 6:44:23 pm CET","Preddiplomski Računarstvo","2","Izrazito se ne slažem","Izrazito se ne slažem","Slažem se","Ne slažem se","od 20% do 40%","od 60% do 80%","0","Ne","Ne","Ne",""
"2022/12/02 6:52:29 pm CET","Diplomski Računarstvo","1","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/02 8:38:23 pm CET","Diplomski Elektrotehnika","1","Slažem se","Slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 20% do 40%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 8:40:52 pm CET","Preddiplomski Računarstvo","2","Slažem se","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 60% do 80%","od 60% do 80%","Manje od 5","Nisam siguran/a","Da","Nisam siguran/a",""
"2022/12/02 8:52:04 pm CET","Preddiplomski Računarstvo","3","Izrazito se ne slažem","Ne slažem se","Ne slažem se","Izrazito se ne slažem","manje od 20%","od 20% do 40%","Od 5 do 10","Da","Nisam siguran/a","Da","Dojma sam da su profesori preopterečeni nastavnim aktivnostima i kao posljedica toga se ne mogu baviti znanstvenim radom u mjeri u kojoj bi to bilo poželjno."
"2022/12/02 9:55:02 pm CET","Diplomski Automobilsko računarstvo i komunikacije","2","Slažem se","Slažem se","Niti se slažem niti ne slažem","Slažem se","od 60% do 80%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/02 10:06:15 pm CET","Diplomski Elektrotehnika","1","Ne slažem se","Ne slažem se","Potpuno se slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 12:08:54 am CET","Preddiplomski Računarstvo","2","Ne slažem se","Ne slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","0","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 12:16:24 am CET","Preddiplomski Računarstvo","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 40% do 60%","više od 80%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 12:56:23 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Slažem se","Slažem se","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Da","Da",""
"2022/12/03 9:07:47 am CET","Preddiplomski Računarstvo","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Potpuno se slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/03 9:51:15 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","manje od 20%","manje od 20%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 9:53:47 am CET","Preddiplomski Elektrotehnika","3","Izrazito se ne slažem","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","manje od 20%","Manje od 5","Da","Da","Nisam siguran/a",""
"2022/12/03 12:10:16 pm CET","Preddiplomski Računarstvo","1","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 1:01:14 pm CET","Preddiplomski Elektrotehnika","2","Slažem se","Slažem se","Potpuno se slažem","Niti se slažem niti ne slažem","od 60% do 80%","više od 80%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 1:15:15 pm CET","Preddiplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Od 5 do 10","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 2:26:05 pm CET","Preddiplomski Računarstvo","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Ne slažem se","od 40% do 60%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a","Ako se pruži prilika za sudjelovanje u izradi znanstvenog rada koji se ne sudara sa nastavom, ili pak ide u prilog nastavi (npr. oslobođenje pojedinih obaveza zbog ulozenog vremena na znanstvenom radu), svakako bih bio zainteresiran za takvu aktivnost. Smatram da su znanstveni radovi jedna od najučinkovitijih metoda za učenje i/ili podučavanje."
"2022/12/03 2:30:05 pm CET","Stručni studij Računarstvo","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Izrazito se ne slažem","manje od 20%","od 20% do 40%","0","Ne","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 4:16:04 pm CET","Preddiplomski Računarstvo","2","Ne slažem se","Izrazito se ne slažem","Ne slažem se","Izrazito se ne slažem","od 40% do 60%","od 60% do 80%","Manje od 5","Ne","Ne","Ne",""
"2022/12/03 4:52:58 pm CET","Diplomski Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 40% do 60%","od 40% do 60%","0","Ne","Ne","Ne",""
"2022/12/03 6:46:00 pm CET","Diplomski Računarstvo","1","Slažem se","Niti se slažem niti ne slažem","Potpuno se slažem","Slažem se","od 60% do 80%","više od 80%","Od 5 do 10","Da","Ne","Da",""
"2022/12/03 7:22:25 pm CET","Stručni studij Elektrotehnika","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","0","Nisam siguran/a","Ne","Ne",""
"2022/12/03 7:38:20 pm CET","Preddiplomski Elektrotehnika","3","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 7:40:52 pm CET","Preddiplomski Elektrotehnika","1","Slažem se","Niti se slažem niti ne slažem","Potpuno se slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","Od 5 do 10","Nisam siguran/a","Ne","Ne",""
"2022/12/03 8:20:06 pm CET","Stručni studij Elektrotehnika","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 20% do 40%","od 60% do 80%","0","Ne","Ne","Ne",""
"2022/12/03 9:34:57 pm CET","Stručni studij Elektrotehnika","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","od 20% do 40%","od 40% do 60%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/03 11:10:53 pm CET","Preddiplomski Računarstvo","2","Ne slažem se","Ne slažem se","Potpuno se slažem","Ne slažem se","od 60% do 80%","od 40% do 60%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/03 11:33:19 pm CET","Preddiplomski Računarstvo","2","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 12:00:17 pm CET","Preddiplomski Računarstvo","3","Slažem se","Slažem se","Slažem se","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Od 5 do 10","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 12:16:34 pm CET","Diplomski Elektrotehnika","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","manje od 20%","od 40% do 60%","Manje od 5","Da","Ne","Ne",""
"2022/12/04 12:27:18 pm CET","Stručni studij Računarstvo","2","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 60% do 80%","više od 80%","0","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 12:43:26 pm CET","Stručni studij Računarstvo","2","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","0","Nisam siguran/a","Ne","Ne",""
"2022/12/04 1:31:35 pm CET","Stručni studij Računarstvo","3","Potpuno se slažem","Niti se slažem niti ne slažem","Potpuno se slažem","Izrazito se ne slažem","od 20% do 40%","više od 80%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 1:53:31 pm CET","Diplomski Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Od 5 do 10","Da","Ne","Ne",""
"2022/12/04 3:26:10 pm CET","Preddiplomski Računarstvo","3","Ne slažem se","Izrazito se ne slažem","Slažem se","Izrazito se ne slažem","manje od 20%","od 40% do 60%","Od 5 do 10","Da","Da","Nisam siguran/a",""
"2022/12/04 4:29:04 pm CET","Preddiplomski Računarstvo","1","Izrazito se ne slažem","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 60% do 80%","0","Nisam siguran/a","Ne","Ne",""
